date,BTC,ETH,USDT-USD,SPY,IVV,VTI,VOO,QQQ
2019-03-29,4121.0,143.38016016,1.011638045310974,282.8399963378906,284.739990234375,144.7899932861328,259.7200012207031,179.8300018310547
2019-04-01,4159.12005494,144.38,1.0064259767532349,286.1600036621094,288.0799865722656,146.47999572753906,262.7799987792969,182.25999450683597
2019-04-02,4899.9,165.4455,1.0344159603118896,286.2300109863281,288.1600036621094,146.5,262.8500061035156,182.91000366210935
2019-04-03,5274.73567118,177.67610094,1.0382059812545776,287.760009765625,289.70001220703125,147.33999633789062,264.25,184.9199981689453
2019-04-04,5036.0,163.47999988,1.0130629539489746,287.4599914550781,289.3900146484375,147.14999389648438,263.9599914550781,184.5
2019-04-05,5037.38472809,167.54999998,1.0108120441436768,288.6300048828125,290.5599975585937,147.8300018310547,265.0599975585937,184.7700042724609
2019-04-08,5315.70006089,185.75786569,1.019279956817627,288.9100036621094,290.8500061035156,147.92999267578125,265.3099975585937,185.27999877929688
2019-04-09,5240.21979062,178.86,1.0172580480575562,288.0799865722656,290.0199890136719,147.47999572753906,264.5400085449219,185.1100006103516
2019-04-10,5420.93626445,183.48219827,1.0227349996566772,288.3900146484375,290.3399963378906,147.72000122070312,264.8399963378906,185.52999877929688
2019-04-11,5326.57628912,177.20088677,1.018941044807434,288.8399963378906,290.7799987792969,147.9600067138672,265.239990234375,185.77999877929688
2019-04-12,5077.82223453,166.11738335,1.0128229856491089,290.4700012207031,292.44000244140625,148.8000030517578,266.7699890136719,185.9499969482422
2019-04-15,5165.8889749,168.8,1.0151389837265017,290.3500061035156,292.3099975585937,148.8000030517578,266.6400146484375,186.07000732421875
2019-04-16,5193.9587789,167.0,1.012663960456848,291.010009765625,292.9800109863281,149.05999755859375,267.239990234375,186.91000366210935
2019-04-17,5234.98087353,167.337,1.0140899419784546,291.42999267578125,293.3900146484375,149.22000122070312,267.6099853515625,187.92999267578125
2019-04-18,5291.39483621,175.0,1.0080889463424685,290.32000732421875,292.2799987792969,148.39999389648438,266.6000061035156,187.7899932861328
2019-04-22,5390.0,172.31399695,1.0111470222473145,290.44000244140625,292.3999938964844,148.41000366210938,266.7099914550781,187.9900054931641
